"Date","Price","Open","High","Low","Vol.","Change %"
"06/08/2025","2,535.98","2,524.66","2,548.27","2,477.91","721.45K","0.45%"
"06/01/2025","2,524.66","2,526.39","2,675.16","2,385.68","3.79M","-0.14%"
"05/25/2025","2,528.09","2,530.68","2,784.23","2,467.77","4.50M","-0.05%"
"05/18/2025","2,529.32","2,475.04","2,731.76","2,340.94","6.15M","2.19%"
"05/11/2025","2,475.04","2,583.94","2,734.04","2,413.02","6.30M","-4.21%"
"05/04/2025","2,583.78","1,833.94","2,597.68","1,754.38","6.13M","40.89%"
"04/27/2025","1,833.93","1,820.65","1,872.73","1,736.41","3.45M","0.73%"
"04/20/2025","1,820.65","1,613.18","1,835.72","1,545.34","4.91M","12.90%"
"04/13/2025","1,612.58","1,643.09","1,690.44","1,539.11","3.64M","-1.92%"
"04/06/2025","1,644.12","1,805.11","1,816.30","1,388.12","8.81M","-8.99%"
"03/30/2025","1,806.47","1,828.23","1,953.57","1,752.70","3.68M","-1.17%"
"03/23/2025","1,827.84","1,980.78","2,101.23","1,801.47","3.21M","-7.72%"
"03/16/2025","1,980.80","1,936.53","2,069.43","1,863.28","2.73M","2.25%"
"03/09/2025","1,937.17","2,203.59","2,211.54","1,766.97","5.34M","-12.09%"
"03/02/2025","2,203.59","2,217.53","2,546.39","2,001.50","6.43M","-0.63%"
"02/23/2025","2,217.53","2,763.23","2,838.22","2,078.68","6.55M","-19.75%"
"02/16/2025","2,763.23","2,693.04","2,845.96","2,610.47","3.75M","2.59%"
"02/09/2025","2,693.40","2,631.61","2,789.88","2,534.86","3.50M","2.35%"
"02/02/2025","2,631.56","3,116.44","3,163.03","2,261.27","8.51M","-15.63%"
"01/26/2025","3,119.13","3,318.14","3,434.27","3,030.68","3.74M","-6.00%"
"01/19/2025","3,318.14","3,308.73","3,449.78","3,133.37","5.33M","0.28%"
"01/12/2025","3,308.74","3,282.89","3,524.96","2,943.61","3.73M","0.77%"
"01/05/2025","3,283.57","3,656.94","3,742.07","3,160.67","3.30M","-10.19%"
"12/29/2024","3,656.13","3,404.53","3,669.62","3,306.11","2.32M","7.39%"
"12/22/2024","3,404.59","3,338.72","3,546.29","3,220.10","2.67M","1.97%"
"12/15/2024","3,338.66","3,871.13","4,102.90","3,103.72","6.29M","-13.75%"
"12/08/2024","3,871.13","3,996.25","4,015.24","3,521.57","4.30M","-3.13%"
"12/01/2024","3,996.24","3,702.96","4,084.99","3,510.19","5.80M","7.92%"
"11/24/2024","3,702.97","3,393.92","3,733.47","3,254.45","4.67M","9.11%"
"11/17/2024","3,393.91","3,132.04","3,495.09","3,030.91","4.70M","8.36%"
"11/10/2024","3,132.00","3,126.25","3,440.05","3,015.75","5.79M","0.14%"
"11/03/2024","3,127.69","2,492.54","3,153.38","2,362.91","4.02M","25.49%"
"10/27/2024","2,492.45","2,482.52","2,719.90","2,465.72","2.85M","0.40%"
"10/20/2024","2,482.52","2,647.42","2,766.10","2,386.98","2.74M","-6.23%"
"10/13/2024","2,647.39","2,476.46","2,682.02","2,437.44","2.18M","6.90%"
"10/06/2024","2,476.48","2,414.98","2,520.05","2,353.08","1.73M","2.55%"
"09/29/2024","2,414.98","2,675.71","2,683.73","2,311.68","2.21M","-9.74%"
"09/22/2024","2,675.71","2,613.25","2,726.69","2,527.75","2.09M","2.39%"
"09/15/2024","2,613.35","2,417.56","2,619.81","2,254.52","2.49M","8.10%"
"09/08/2024","2,417.56","2,273.70","2,459.47","2,243.34","2.07M","6.27%"
"09/01/2024","2,274.87","2,513.06","2,560.67","2,151.80","2.99M","-9.50%"
"08/25/2024","2,513.56","2,768.90","2,792.11","2,396.02","2.44M","-9.21%"
"08/18/2024","2,768.49","2,614.35","2,818.05","2,541.32","2.24M","5.90%"
"08/11/2024","2,614.35","2,609.91","2,761.71","2,518.31","2.55M","0.16%"
"08/04/2024","2,610.24","2,904.59","2,931.40","2,166.31","6.22M","-10.13%"
"07/28/2024","2,904.59","3,248.83","3,396.70","2,863.44","2.14M","-10.55%"
"07/21/2024","3,247.06","3,517.04","3,559.66","3,089.07","2.33M","-7.68%"
"07/14/2024","3,517.04","3,175.10","3,539.42","3,165.38","2.10M","10.77%"
"07/07/2024","3,175.10","3,068.79","3,214.07","2,826.32","1.96M","3.46%"
"06/30/2024","3,068.79","3,378.60","3,522.00","2,822.44","3.25M","-9.17%"
"06/23/2024","3,378.60","3,495.96","3,520.35","3,245.76","2.00M","-3.35%"
"06/16/2024","3,495.87","3,568.74","3,650.11","3,373.14","2.49M","-2.04%"
"06/09/2024","3,568.72","3,681.59","3,719.02","3,368.09","2.17M","-3.07%"
